Standard Stats,Standard Stats,Standard Stats,season,competition,minutes_played
Touches (Live-Ball),114.16,99,2022-2023,2022-2023 Ligue 1,2194.0
,,,2022-2023,2022-2023 Ligue 1,2194.0
Take-Ons Attempted,2.17,54,2022-2023,2022-2023 Ligue 1,2194.0
Successful Take-Ons,1.19,66,2022-2023,2022-2023 Ligue 1,2194.0
Successful Take-On %,54.7%,70,2022-2023,2022-2023 Ligue 1,2194.0
Times Tackled During Take-On,0.57,61,2022-2023,2022-2023 Ligue 1,2194.0
Tackled During Take-On Percentage,26.4%,88,2022-2023,2022-2023 Ligue 1,2194.0
,,,2022-2023,2022-2023 Ligue 1,2194.0
Carries,97.47,99,2022-2023,2022-2023 Ligue 1,2194.0
Total Carrying Distance,458.70,99,2022-2023,2022-2023 Ligue 1,2194.0
Progressive Carrying Distance,226.80,99,2022-2023,2022-2023 Ligue 1,2194.0
,,,2022-2023,2022-2023 Ligue 1,2194.0
Progressive Carries,1.64,49,2022-2023,2022-2023 Ligue 1,2194.0
Carries into Final Third,3.24,95,2022-2023,2022-2023 Ligue 1,2194.0
Carries into Penalty Area,0.21,43,2022-2023,2022-2023 Ligue 1,2194.0
Miscontrols,0.70,93,2022-2023,2022-2023 Ligue 1,2194.0
Dispossessed,1.35,26,2022-2023,2022-2023 Ligue 1,2194.0
,,,2022-2023,2022-2023 Ligue 1,2194.0
Passes Received,93.28,99,2022-2023,2022-2023 Ligue 1,2194.0
Progressive Passes Rec,2.13,35,2022-2023,2022-2023 Ligue 1,2194.0
Miscellaneous Stats,Miscellaneous Stats,Miscellaneous Stats,2022-2023,2022-2023 Ligue 1,2194.0
Statistic,Per 90,Percentile,2022-2023,2022-2023 Ligue 1,2194.0
Yellow Cards,0.41,4,2022-2023,2022-2023 Ligue 1,2194.0
Red Cards,0.04,13,2022-2023,2022-2023 Ligue 1,2194.0
Second Yellow Card,0.00,54,2022-2023,2022-2023 Ligue 1,2194.0
Fouls Committed,1.48,39,2022-2023,2022-2023 Ligue 1,2194.0
Fouls Drawn,2.17,93,2022-2023,2022-2023 Ligue 1,2194.0
Offsides,0.00,80,2022-2023,2022-2023 Ligue 1,2194.0
Crosses,0.29,17,2022-2023,2022-2023 Ligue 1,2194.0
,,,2022-2023,2022-2023 Ligue 1,2194.0
Interceptions,1.11,54,2022-2023,2022-2023 Ligue 1,2194.0
Tackles Won,2.01,94,2022-2023,2022-2023 Ligue 1,2194.0
Penalty Kicks Won,0.00,39,2022-2023,2022-2023 Ligue 1,2194.0
Penalty Kicks Conceded,0.04,11,2022-2023,2022-2023 Ligue 1,2194.0
Own Goals,0.00,52,2022-2023,2022-2023 Ligue 1,2194.0
Ball Recoveries,7.18,76,2022-2023,2022-2023 Ligue 1,2194.0
,,,2022-2023,2022-2023 Ligue 1,2194.0
Aerials Won,0.45,29,2022-2023,2022-2023 Ligue 1,2194.0
Aerials Lost,0.53,79,2022-2023,2022-2023 Ligue 1,2194.0
% of Aerials Won,45.8%,56,2022-2023,2022-2023 Ligue 1,2194.0
Goals,0.09,56,2021-2022,2021-2022 Ligue 1,1937.0
Assists,0.09,55,2021-2022,2021-2022 Ligue 1,1937.0
Goals + Assists,0.19,50,2021-2022,2021-2022 Ligue 1,1937.0
Non-Penalty Goals,0.09,58,2021-2022,2021-2022 Ligue 1,1937.0
Penalty Kicks Made,0.00,47,2021-2022,2021-2022 Ligue 1,1937.0
Penalty Kicks Attempted,0.00,46,2021-2022,2021-2022 Ligue 1,1937.0
Yellow Cards,0.56,1,2021-2022,2021-2022 Ligue 1,1937.0
Red Cards,0.00,61,2021-2022,2021-2022 Ligue 1,1937.0
xG: Expected Goals,0.03,12,2021-2022,2021-2022 Ligue 1,1937.0
npxG: Non-Penalty xG,0.03,13,2021-2022,2021-2022 Ligue 1,1937.0
xAG: Exp. Assisted Goals,0.11,56,2021-2022,2021-2022 Ligue 1,1937.0
npxG + xAG,0.13,37,2021-2022,2021-2022 Ligue 1,1937.0
,,,2021-2022,2021-2022 Ligue 1,1937.0
Progressive Carries,2.60,71,2021-2022,2021-2022 Ligue 1,1937.0
Progressive Passes,8.97,98,2021-2022,2021-2022 Ligue 1,1937.0
Progressive Passes Rec,2.93,55,2021-2022,2021-2022 Ligue 1,1937.0
Shooting,Shooting,Shooting,2021-2022,2021-2022 Ligue 1,1937.0
Statistic,Per 90,Percentile,2021-2022,2021-2022 Ligue 1,1937.0
Goals,0.09,56,2021-2022,2021-2022 Ligue 1,1937.0
Shots Total,0.33,5,2021-2022,2021-2022 Ligue 1,1937.0
Shots on Target,0.09,11,2021-2022,2021-2022 Ligue 1,1937.0
Shots on Target %,28.6%,52,2021-2022,2021-2022 Ligue 1,1937.0
Goals/Shot,0.29,99,2021-2022,2021-2022 Ligue 1,1937.0
Goals/Shot on Target,1.00,97,2021-2022,2021-2022 Ligue 1,1937.0
Average Shot Distance,16.40,86,2021-2022,2021-2022 Ligue 1,1937.0
Shots from Free Kicks,0.00,30,2021-2022,2021-2022 Ligue 1,1937.0
